brand,product,product_image,like_number,review,mini,capacity,price,first_category,second_category
더샘,쓰리 엣지 글로우 베이스,https://d33ur1yh5ph6b5.cloudfront.net/dac840b4-ec6e-4519-aab4-a58cd364a7a0,24,69,44,30ml,18000,1,1
더페이스샵,에어 코튼 메이크업베이스 [01 민트],https://d33ur1yh5ph6b5.cloudfront.net/c6f312b7-3edb-481c-b3df-9f55b121c66f,154,71,100,35g,4000,1,1
더페이스샵,에어 코튼 메이크업베이스 [02 라벤더],https://d33ur1yh5ph6b5.cloudfront.net/294e45e3-fc6c-48dc-91c0-aebfecb5bccf,82,70,84,35g,4000,1,1
에뛰드하우스,글로우 온 베이스 하이드라,https://d33ur1yh5ph6b5.cloudfront.net/a1918b9d-8f9e-434b-9a24-22c818548279,18,27,22,30ml,16000,1,1
폴앤조보떼,프로텍팅 파운데이션 프라이머,https://d33ur1yh5ph6b5.cloudfront.net/58641f59-bbf4-42e4-a528-f2a81aa08309,4,30,3,30ml,45000,1,1
문샷,멀티 프로텍션 틴티드 모이스처,https://d33ur1yh5ph6b5.cloudfront.net/d2fa3ed7-984f-4a07-b3af-cd30ced9a62c,6,27,8,40ml,25000,1,1
에뛰드하우스,글로우 온 베이스 오일볼륨,https://d33ur1yh5ph6b5.cloudfront.net/a0985371-e660-45b2-95c1-e3da2d171d05,25,26,19,30ml,16000,1,1
클라뷰,화이트 펄세이션 아이디얼 액트리스 백스테이지 크림 [로즈],https://d33ur1yh5ph6b5.cloudfront.net/b99995c2-c700-49c6-8b9c-45af78c3db9e,2,25,13,30ml,28000,1,1
이니스프리,미네랄 수분피팅 베이스,https://d33ur1yh5ph6b5.cloudfront.net/77da2429-d849-4797-b992-0054eacf6f9c,111,9,24,40ml,12000,1,1
이니스프리,미네랄 메이크업 베이스 [2호 바닐라그린],https://d33ur1yh5ph6b5.cloudfront.net/1a88ce6e-39b3-11e4-9866-06f4fe0000b5,85,19,26,40ml,12000,1,1
맥(MAC),스트롭 크림,https://d33ur1yh5ph6b5.cloudfront.net/eab4a219-3ed5-11e4-ae91-06a6fa0000b9,35,17,12,50ml,49000,1,1
에뛰드하우스,베이비 슈 베이스 [피치슈],https://d33ur1yh5ph6b5.cloudfront.net/ae3d0ac8-3bdb-11e4-ae91-06a6fa0000b9,15,14,6,35g,11000,1,1
아쿠탑,워터 컬러 메이크업 크림 [롤링그린],https://d33ur1yh5ph6b5.cloudfront.net/be3a90a8-afcd-455a-8ef5-8bf7ee82e2c9,2,16,5,30ml,32000,1,1
이니스프리,미네랄 메이크업 베이스 [3호 크림퍼플],https://d33ur1yh5ph6b5.cloudfront.net/1b9312d9-39b3-11e4-9866-06f4fe0000b5,42,10,18,40ml,12000,1,1
아쿠탑,워터 컬러 메이크업 크림 [롤링블링],https://d33ur1yh5ph6b5.cloudfront.net/45bd80bf-fceb-482f-a797-39d6c2d51d9f,1,12,11,30ml,32000,1,1
클라뷰,화이트 펄세이션 아이디얼 액트리스 백스테이지 크림 [라벤더],https://d33ur1yh5ph6b5.cloudfront.net/28d6ad88-cd5f-467c-8d3a-96f4a9d02cbc,0,10,4,30ml,28000,1,1
클라뷰,화이트 펄세이션 아이디얼 액트리스 백스테이지 크림 [민트],https://d33ur1yh5ph6b5.cloudfront.net/709f846b-8968-46b1-9d53-f75e8f79bff8,0,10,2,30ml,28000,1,1
더페이스샵,오일컷 모공밤,https://d33ur1yh5ph6b5.cloudfront.net/b09a838d-3f05-11e4-a530-06530c0000b4,33,12,8,17g,9000,1,1
페리페라,페리페라 블러팡 [퓨어밀크블러],https://d33ur1yh5ph6b5.cloudfront.net/b90aaa12-0182-43f0-b5d1-38085a78904f,94,67,111,50ml,10000,1,2
코스노리,화이트닝드레스 미백 톤업크림,https://d33ur1yh5ph6b5.cloudfront.net/45e87fb2-05eb-442f-b9fb-51c992855b38,39,73,54,50ml,32000,1,2
맥스클리닉,로지 핑크 톤 업 크림,https://d33ur1yh5ph6b5.cloudfront.net/67db0669-84bb-46ca-afde-96d18e297723,3,47,21,50ml,28000,1,2
언파 코스메틱,바이바이 시카톤업크림,https://d33ur1yh5ph6b5.cloudfront.net/78c443a0-0d6d-4329-b602-083928e71e9a,18,75,9,50ml,26000,1,2
페리페라,페리페라 블러팡 [피치밀크블러],https://d33ur1yh5ph6b5.cloudfront.net/9645c1f7-d8da-450f-960b-b69de9886a1b,50,47,67,50ml,10000,1,2
이니스프리,제주 왕벚꽃 톤업 크림,https://d33ur1yh5ph6b5.cloudfront.net/5d5d5250-5be4-40af-9163-46b2bf0b3165,51,13,47,50ml,20000,1,2
더블유랩(W.Lab),화이트 홀릭,https://d33ur1yh5ph6b5.cloudfront.net/83375bc8-fa86-41de-b0f8-655593b83d07,51,24,38,50ml,30000,1,2
에스투앤디(S2ND),핑크터치 올인원 톤업 크림,https://d33ur1yh5ph6b5.cloudfront.net/acab629e-b398-43d0-9d0f-1f55c99b7481,1,25,3,50ml,28000,1,2
식스틴브랜드(16브랜드),구름 미백 로션,https://d33ur1yh5ph6b5.cloudfront.net/27a71f5a-af38-4596-8cd5-e844c06d49e2,16,25,6,30ml,11000,1,2
코스노리,코스노리 샤이닝 드레스 쉬머 펄 크림,https://d33ur1yh5ph6b5.cloudfront.net/844a3e54-c9e1-4847-a544-3546a6557f7b,1,27,11,50ml,26000,1,2
페리페라,페리페라 블러팡 [바나나밀크블러],https://d33ur1yh5ph6b5.cloudfront.net/58623f62-07fb-45cd-bea0-3999c37a6181,14,17,34,50ml,10000,1,2
어퓨,톤업팡 베이스 [핑크],https://d33ur1yh5ph6b5.cloudfront.net/45704292-1928-4a62-9467-761433f749a2,7,21,6,35g,14800,1,2
닥터뉴엘,화이트 톤업크림 [첫눈크림],https://d33ur1yh5ph6b5.cloudfront.net/8c48303c-35fa-4bb5-9453-0db7b0e495d7,12,29,10,50ml,20000,1,2
구달,청귤 비타C 잡티 톤업 크림,https://d33ur1yh5ph6b5.cloudfront.net/0b5156bb-0479-4993-8ebf-8e98c5a26f9c,7,14,8,50ml,22000,1,2
나인위시스,VB 톤업 [핑크],https://d33ur1yh5ph6b5.cloudfront.net/3a4eda25-a236-40eb-acea-9cc4d8073a27,5,27,7,30ml,35000,1,2
애플린,백설기 크림,https://d33ur1yh5ph6b5.cloudfront.net/7ce3aac3-f7e5-4e85-9250-595205c4fb13,17,8,16,50ml,19000,1,2
블랙루즈 (BLACK ROUGE),핑크 톤업 크림,https://d33ur1yh5ph6b5.cloudfront.net/0063ff60-26ba-4cf0-a049-02af23418ded,8,13,5,45ml,17900,1,2
데일리스킨,화이트닝 크림 [피치피치],https://d33ur1yh5ph6b5.cloudfront.net/63cfdcff-bfd9-4f15-afb7-502873cc22e7,13,10,11,70ml,27000,1,2
에뛰드하우스,더블래스팅 파운데이션 NEW [19호 로지퓨어],https://d33ur1yh5ph6b5.cloudfront.net/f99ed1d1-1beb-4b2d-b9ee-30ac921be98d,209,85,185,30g,18000,1,3
스킨푸드,청포도 프레시 파운데이션21호 스킨베이지,https://d33ur1yh5ph6b5.cloudfront.net/2b045980-72b6-4986-84c2-0a9c2cd91d5e,570,72,130,30ml,8900,1,3
한율,커버 파운데이션 [21C 화사한 아이보리],https://d33ur1yh5ph6b5.cloudfront.net/7a16251f-191c-4c04-9031-76e97c739027,88,28,50,30ml,39000,1,3
