name,first_category
메이크업베이스,1
톤업크림,1
파운데이션,1
컨실러,1
쿠션,1
파우더/팩트,1
프라이머,1
BB크림/CC크림,1
메이크업 픽서,1
하이라이터/쉐딩,1
기타,1
립스틱,2
립틴트/립라커,2
립글로스,2
립앤치크,2
립팔레트,2
립라이너,2
립밤,2
립스크럽,2
아이섀도우,2
마스카라,2
글리터/펄피그먼트,2
섀도우팔레트,2
블러셔,2
아이브로우,2
브로우카라,2
아이라이너,2
기타,2
스킨/토너,3
페이스오일,3
에센스/세럼/앰플,3
로션/에멀전,3
패드,3
크림,3
아이크림,3
미스트,3
기타,3
트러플케어,3
선크림,4
선스틱,4
선젤/선로션,4
리타 선케어,4
워시오프팩,5
필오프팩,5
슬리핑팩,5
마스크시트,5
모델링 팩,5
겔 마스크,5
기타,5
클렌징오일,6
클렌징워터,6
클렌징폼/젤,6
클렌징티슈,6
클렌징패드,6
클렌징밤,6
클렌징비누,6
립&아이리무버,6
스크럽/필링,6
클렌징 크림/밀크,6
기타,6
바디워시/클렌저,7
바디오일/에센스,7
바디보습,7
바디스크럽,7
바디미스트/샤워코롱,7
입욕제,7
제모,7
구강케어,7
핸드케어,7
풋케어,7
여성청결제,7
데오도란트,7
기타,7
샴푸,8
린스/컨디셔너,8
트리트먼트,8
헤어팩,8
헤어에센스/오일,8
헤어미스트/퍼퓸,8
염색제,8
헤어 스타일링,8
기타,8
여성향수,9
남성향수,9
남여공용향수,9
섬유향수,9
향초/디퓨저/방향제,9
기타,9
브러쉬,10
뷰러,10
위생용품,10
속눈썹,10
속눈썹 픽서/영양제,10
화장솜,10
스펀지/퍼프,10
렌즈/렌즈용품,10
뷰티 디바이스,10
헤어 스타일링기,10
네일,10
건강/다이어트식품,10
옴므,10
기타,10
